"time"; "type"; "msg per second"; "mean"; "median"; "90% percentile"; "99% percentile"; "max";
22:00:00; 111; 14; 227.85714285714286; 226; 257; 311; 311;
22:00:00; 101; 40; 247.675; 248; 277; 291; 291;
22:00:00; 103; 38; 219.07894736842104; 212; 289; 332; 332;
22:00:00; 109; 15; 278.53333333333336; 272; 316; 324; 324;
22:00:01; 111; 4; 229.25; 232; 232; 232; 232;
22:00:01; 101; 44; 251.45454545454547; 249; 296; 315; 315;
22:00:01; 103; 54; 210.1851851851852; 209; 235; 290; 290;
22:00:01; 109; 3; 254.33333333333334; 240; 283; 283; 283;
22:00:02; 101; 46; 253.7173913043478; 248; 269; 538; 538;
22:00:02; 103; 42; 220.11904761904762; 213; 272; 331; 331;
22:00:03; 111; 1; 232.0; 232; 232; 232; 232;
22:00:03; 101; 35; 242.5142857142857; 246; 265; 284; 284;
22:00:03; 103; 30; 212.33333333333334; 211; 240; 258; 258;
22:00:04; 101; 58; 245.3793103448276; 246; 267; 328; 328;
22:00:04; 103; 58; 228.86206896551724; 210; 326; 435; 435;
22:00:04; 129; 1; 308.0; 308; 308; 308; 308;
22:00:04; 109; 1; 252.0; 252; 252; 252; 252;
22:00:05; 101; 50; 239.4; 242; 266; 286; 286;
22:00:05; 103; 49; 210.73469387755102; 211; 235; 282; 282;
22:00:06; 111; 1; 218.0; 218; 218; 218; 218;
22:00:06; 101; 53; 244.03773584905662; 243; 268; 326; 326;
22:00:06; 103; 53; 209.73584905660377; 207; 246; 327; 327;
22:00:07; 111; 1; 227.0; 227; 227; 227; 227;
22:00:07; 101; 46; 237.47826086956522; 241; 263; 302; 302;
22:00:07; 103; 44; 215.38636363636363; 211; 257; 295; 295;
22:00:07; 109; 1; 241.0; 241; 241; 241; 241;
22:00:08; 111; 3; 222.66666666666666; 229; 240; 240; 240;
22:00:08; 101; 47; 243.04255319148936; 245; 269; 307; 307;
22:00:08; 103; 44; 216.52272727272728; 209; 265; 318; 318;
22:00:08; 109; 3; 253.0; 249; 264; 264; 264;
22:00:09; 111; 2; 240.5; 245; 245; 245; 245;
22:00:09; 101; 48; 250.9375; 246; 293; 370; 370;
22:00:09; 103; 53; 226.26415094339623; 213; 279; 362; 362;
22:00:09; 129; 1; 246.0; 246; 246; 246; 246;
22:00:09; 109; 3; 239.33333333333334; 240; 241; 241; 241;
22:00:10; 111; 2; 210.0; 213; 213; 213; 213;
22:00:10; 101; 47; 245.06382978723406; 245; 270; 343; 343;
22:00:10; 103; 42; 210.3095238095238; 211; 241; 277; 277;
22:00:10; 109; 3; 250.0; 245; 265; 265; 265;
22:00:11; 101; 61; 247.37704918032787; 243; 273; 377; 377;
22:00:11; 103; 63; 223.8095238095238; 213; 268; 334; 334;
22:00:12; 111; 7; 222.85714285714286; 199; 298; 298; 298;
22:00:12; 101; 66; 247.0909090909091; 242; 269; 410; 410;
22:00:12; 103; 73; 219.4794520547945; 212; 270; 331; 331;
22:00:12; 109; 5; 263.6; 269; 285; 285; 285;
22:00:13; 101; 54; 244.7962962962963; 244; 268; 373; 373;
22:00:13; 103; 51; 218.52941176470588; 211; 273; 328; 328;
22:00:14; 111; 2; 247.5; 254; 254; 254; 254;
22:00:14; 101; 52; 246.25; 246; 267; 383; 383;
22:00:14; 103; 56; 218.07142857142858; 210; 245; 569; 569;
22:00:14; 129; 1; 276.0; 276; 276; 276; 276;
22:00:14; 109; 3; 259.0; 242; 304; 304; 304;
22:00:15; 111; 17; 233.52941176470588; 232; 277; 298; 298;
22:00:15; 101; 48; 244.0625; 239; 283; 326; 326;
22:00:15; 103; 46; 219.06521739130434; 212; 259; 349; 349;
22:00:15; 109; 16; 285.8125; 284; 326; 459; 459;
22:00:16; 111; 2; 256.0; 290; 290; 290; 290;
22:00:16; 101; 47; 243.12765957446808; 242; 269; 311; 311;
22:00:16; 103; 45; 211.62222222222223; 211; 230; 272; 272;
22:00:16; 109; 3; 250.0; 240; 279; 279; 279;
22:00:17; 111; 1; 252.0; 252; 252; 252; 252;
22:00:17; 101; 48; 241.3125; 241; 271; 285; 285;
22:00:17; 103; 43; 216.7674418604651; 212; 252; 267; 267;
22:00:17; 109; 1; 279.0; 279; 279; 279; 279;
22:00:18; 111; 1; 223.0; 223; 223; 223; 223;
22:00:18; 101; 49; 246.55102040816325; 243; 276; 309; 309;
22:00:18; 103; 46; 215.5; 212; 247; 283; 283;
22:00:18; 109; 1; 264.0; 264; 264; 264; 264;
22:00:19; 111; 10; 253.3; 260; 308; 308; 308;
22:00:19; 101; 53; 245.39622641509433; 241; 289; 325; 325;
22:00:19; 103; 55; 232.3272727272727; 213; 316; 413; 413;
22:00:19; 109; 11; 256.1818181818182; 251; 277; 295; 295;
22:00:20; 111; 3; 244.0; 224; 301; 301; 301;
22:00:20; 101; 53; 244.54716981132074; 241; 278; 297; 297;
22:00:20; 103; 53; 219.88679245283018; 211; 261; 482; 482;
22:00:20; 109; 5; 243.8; 240; 261; 261; 261;
22:00:21; 111; 1; 200.0; 200; 200; 200; 200;
22:00:21; 101; 57; 242.47368421052633; 243; 265; 291; 291;
22:00:21; 103; 63; 221.0793650793651; 211; 274; 326; 326;
22:00:21; 129; 1; 246.0; 246; 246; 246; 246;
22:00:21; 109; 1; 238.0; 238; 238; 238; 238;
22:00:22; 101; 49; 250.24489795918367; 243; 306; 333; 333;
22:00:22; 103; 42; 210.57142857142858; 207; 250; 332; 332;
22:00:23; 111; 43; 228.62790697674419; 223; 257; 335; 335;
22:00:23; 101; 64; 250.046875; 246; 289; 349; 349;
22:00:23; 103; 100; 213.24; 208; 252; 323; 323;
22:00:23; 109; 19; 276.42105263157896; 256; 320; 462; 462;
22:00:24; 111; 10; 299.2; 233; 867; 867; 867;
22:00:24; 101; 65; 253.58461538461538; 244; 290; 455; 455;
22:00:24; 103; 58; 230.63793103448276; 213; 278; 547; 547;
22:00:24; 129; 1; 308.0; 308; 308; 308; 308;
22:00:24; 109; 25; 281.88; 280; 326; 354; 354;
22:00:25; 111; 2; 222.5; 231; 231; 231; 231;
22:00:25; 101; 40; 237.3; 238; 261; 289; 289;
22:00:25; 103; 38; 219.26315789473685; 213; 279; 319; 319;
22:00:25; 109; 4; 251.0; 251; 258; 258; 258;
22:00:26; 111; 20; 243.6; 243; 284; 305; 305;
